,number,contractName,name,address,position,banking,bonus,status,lastUpdate,connected,overflow,shape,totalStands,mainStands,overflowStands
96,43,luxembourg,#00043-LYCEE TECHNIQUE DE BONNEVOIE,LYCEE TECHNIQUE DE BONNEVOIE - RUE DU CIMETIERE ( DEVANT N° 110 ),"{'latitude': 49.5911, 'longitude': 6.1416}",False,False,OPEN,2022-04-11T21:13:06Z,True,False,NULL,"{'availabilities': {'bikes': 13, 'stands': 6, 'mechanicalBikes': 0, 'electricalBikes': 13, 'electricalInternalBatteryBikes': 13, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 13, 'stands': 6, 'mechanicalBikes': 0, 'electricalBikes': 13, 'electricalInternalBatteryBikes': 13, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
97,111,luxembourg,#00111-HALL SPORTIF NICOLAS FRANTZ,HALL SPORTIF NICOLAS FRANTZ - RUE DE BERTRANGE / HALL SPORTIF NICOLAS FRANTZ,"{'latitude': 49.623154, 'longitude': 6.024879}",False,False,OPEN,2022-04-11T21:14:53Z,True,False,NULL,"{'availabilities': {'bikes': 10, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 10, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
98,59,luxembourg,#00059-ST HUBERT,ST HUBERT - RUE DE MERL 147 / RUE ST HUBERT,"{'latitude': 49.60289, 'longitude': 6.09322}",True,False,OPEN,2022-04-11T21:12:18Z,True,False,NULL,"{'availabilities': {'bikes': 12, 'stands': 7, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 12, 'stands': 7, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
99,69,luxembourg,#00069-UM REIMERWEE,UM REIMERWEE - RUE DU KIEM,"{'latitude': 49.61769, 'longitude': 6.08276}",False,False,OPEN,2022-04-11T21:13:43Z,True,False,NULL,"{'availabilities': {'bikes': 3, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 3, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
100,74,luxembourg,#00074-SAINTE CUNEGONDE,SAINTE CUNEGONDE - PLACE STE CUNEGONDE,"{'latitude': 49.6146, 'longitude': 6.14283}",False,False,OPEN,2022-04-11T21:13:05Z,True,False,NULL,"{'availabilities': {'bikes': 13, 'stands': 2, 'mechanicalBikes': 0, 'electricalBikes': 13, 'electricalInternalBatteryBikes': 13, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}","{'availabilities': {'bikes': 13, 'stands': 2, 'mechanicalBikes': 0, 'electricalBikes': 13, 'electricalInternalBatteryBikes': 13, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}",NULL
101,18,luxembourg,#00018-CAMPUS LAMPERTSBIERG,CAMPUS LAMPERTSBIERG - RUE DE LA FAIENCERIE ( DEVANT N° 151 ),"{'latitude': 49.6219, 'longitude': 6.1118}",False,False,OPEN,2022-04-11T21:14:52Z,True,False,NULL,"{'availabilities': {'bikes': 8, 'stands': 11, 'mechanicalBikes': 0, 'electricalBikes': 8, 'electricalInternalBatteryBikes': 8, 'electricalRemovableBatteryBikes': 0}, 'capacity': 19}","{'availabilities': {'bikes': 8, 'stands': 11, 'mechanicalBikes': 0, 'electricalBikes': 8, 'electricalInternalBatteryBikes': 8, 'electricalRemovableBatteryBikes': 0}, 'capacity': 19}",NULL
102,3,luxembourg,#00003-STROOSSBUERGER PLAZ,STROOSSBUERGER PLAZ - PLACE DE STRASBOURG ( FACE N° 41 ),"{'latitude': 49.600541, 'longitude': 6.128376}",False,False,OPEN,2022-04-11T21:13:55Z,True,False,NULL,"{'availabilities': {'bikes': 12, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 12, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
103,60,luxembourg,#00060-BOCH,BOCH - RUE J-F BOCH,"{'latitude': 49.61925, 'longitude': 6.10842}",False,False,OPEN,2022-04-11T21:11:08Z,True,False,NULL,"{'availabilities': {'bikes': 12, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 12, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
104,107,luxembourg,#00107-GARE,GARE - RUE DE LA GARE N°166,"{'latitude': 49.586736, 'longitude': 6.05966}",False,False,OPEN,2022-04-11T21:14:22Z,True,False,NULL,"{'availabilities': {'bikes': 8, 'stands': 12, 'mechanicalBikes': 0, 'electricalBikes': 8, 'electricalInternalBatteryBikes': 8, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 8, 'stands': 12, 'mechanicalBikes': 0, 'electricalBikes': 8, 'electricalInternalBatteryBikes': 8, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
105,66,luxembourg,#00066-BEIM TENNIS,BEIM TENNIS - RUE DES SCILLAS 55/BANQUE LUXEMBOURG,"{'latitude': 49.579231, 'longitude': 6.134018}",False,False,OPEN,2022-04-11T21:11:33Z,True,False,NULL,"{'availabilities': {'bikes': 1, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 1, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
