,number,contractName,name,address,position,banking,bonus,status,lastUpdate,connected,overflow,shape,totalStands,mainStands,overflowStands
30,113,luxembourg,#00113-EDEMER,EDEMER - QUARTIER EDEMER / RUE D'ATHÈNES / RUE DE PARIS,"{'latitude': 49.629363, 'longitude': 6.017927}",False,False,OPEN,2022-04-19T08:45:34Z,True,False,,"{'availabilities': {'bikes': 15, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 15, 'electricalInternalBatteryBikes': 15, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 15, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 15, 'electricalInternalBatteryBikes': 15, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
31,77,luxembourg,#00077-FUNICULAIRE,Avenue J.F.Kennedy/Parvis au Plateau KB prés de l'arrêt Pafendall,"{'latitude': 49.618823, 'longitude': 6.136324}",False,False,OPEN,2022-04-19T08:45:38Z,True,False,,"{'availabilities': {'bikes': 0, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 0, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
32,72,luxembourg,#00072-AN DER BOURMICHT,- AN DER BOURMICHT - ZONE INDUSTRIELLE BOURMICHT / RES DES MEROVINGIENS,"{'latitude': 49.61086, 'longitude': 6.08097}",False,False,OPEN,2022-04-19T08:45:10Z,True,False,,"{'availabilities': {'bikes': 12, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 12, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
33,16,luxembourg,#00016-AMELIE,- AMELIE - BOULEVARD ROYAL / AVENUE AMELIE,"{'latitude': 49.613339, 'longitude': 6.125794}",False,False,OPEN,2022-04-19T08:46:45Z,True,False,,"{'availabilities': {'bikes': 5, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 5, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
34,22,luxembourg,#00022-CAMPUS KIRCHBIERG,CAMPUS KIRCHBIERG - BOULEVARD JF KENNEDY / RUE K KALERGI,"{'latitude': 49.6264, 'longitude': 6.1613}",False,False,OPEN,2022-04-19T08:46:27Z,True,False,,"{'availabilities': {'bikes': 11, 'stands': 9, 'mechanicalBikes': 0, 'electricalBikes': 11, 'electricalInternalBatteryBikes': 11, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 11, 'stands': 9, 'mechanicalBikes': 0, 'electricalBikes': 11, 'electricalInternalBatteryBikes': 11, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
35,106,luxembourg,#00106-CENTRE,CENTRE - RUE DU LAVOIR,"{'latitude': 49.567305, 'longitude': 6.064291}",False,False,OPEN,2022-04-19T08:45:51Z,True,False,,"{'availabilities': {'bikes': 7, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 7, 'electricalInternalBatteryBikes': 7, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}","{'availabilities': {'bikes': 7, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 7, 'electricalInternalBatteryBikes': 7, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}",
36,73,luxembourg,#00073-JEANNE D'ARC,- JEANNE D'ARC - PLACE JEANNE D'ARC,"{'latitude': 49.59691, 'longitude': 6.147957}",False,False,OPEN,2022-04-19T08:42:24Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 1, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
37,13,luxembourg,#00013-GELLE FRA,,"{'latitude': 49.60951, 'longitude': 6.128503}",True,False,OPEN,2022-04-19T08:45:54Z,True,False,,"{'availabilities': {'bikes': 7, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 9, 'electricalInternalBatteryBikes': 9, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}","{'availabilities': {'bikes': 7, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 9, 'electricalInternalBatteryBikes': 9, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}",
38,56,luxembourg,#00056-FISCHERHAFF,FISCHERHAFF- RUE DE CESSANGE 177,"{'latitude': 49.5911, 'longitude': 6.1057}",False,False,OPEN,2022-04-19T08:45:23Z,True,False,,"{'availabilities': {'bikes': 14, 'stands': 11, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}","{'availabilities': {'bikes': 14, 'stands': 11, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}",
39,25,luxembourg,#00025-KIEM,KIEM - CIRCUIT DE LA FOIRE / RUE ALPHONSE WEICKER,"{'latitude': 49.634283, 'longitude': 6.166633}",False,False,OPEN,2022-04-19T08:44:14Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 1, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 2, 'electricalInternalBatteryBikes': 2, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
40,48,luxembourg,#00048-BGL BNP PARIBAS,BGL BNP PARIBAS  - RUE EDOUARD STEICHEN ( FACE N° 10 ),"{'latitude': 49.632179, 'longitude': 6.174446}",False,False,OPEN,2022-04-19T08:46:50Z,True,False,,"{'availabilities': {'bikes': 10, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 10, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
41,80,luxembourg,#00080-INS,Rue du Fort Dumoulin/Rue de Trèves,"{'latitude': 49.612542, 'longitude': 6.147918}",False,False,OPEN,2022-04-19T08:43:20Z,True,False,,"{'availabilities': {'bikes': 4, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 4, 'electricalInternalBatteryBikes': 4, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 4, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 4, 'electricalInternalBatteryBikes': 4, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
42,65,luxembourg,#00065-BEI DER SCHOUL,BEI DER SCHOUL - RUE FERDINAND KUHN,"{'latitude': 49.58421, 'longitude': 6.14202}",False,False,OPEN,2022-04-19T08:45:37Z,True,False,,"{'availabilities': {'bikes': 4, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 4, 'electricalInternalBatteryBikes': 4, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 4, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 4, 'electricalInternalBatteryBikes': 4, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
